Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,445470,0,0,,,,
0,0,0,455930,0,0,,,,
0,0,0,442589,0,0,,,,
0,0,0,462945,0,0,,,,
0,0,0,450592,0,0,,,,
0,0,0,444959,0,0,,,,
0,0,0,440731,0,0,,,,
0,0,0,441035,0,0,,,,
0,0,0,454776,0,0,,,,
0,0,0,461591,0,0,,,,
0,0,0,437675,0,0,,,,
0,0,0,437198,0,0,,,,
0,0,0,442815,0,0,,,,
0,0,0,522753,0,0,,,,
0,0,0,450454,0,0,,,,
0,0,0,418049,0,0,,,,
0,0,0,423717,0,0,,,,
0,0,0,407042,0,0,,,,
0,0,0,407346,0,0,,,,
0,0,0,436556,0,0,,,,
0,0,0,419413,0,0,,,,
0,0,0,432424,0,0,,,,
0,0,0,430229,0,0,,,,
0,0,0,419803,0,0,,,,
0,0,0,408128,0,0,,,,
0,0,0,418171,0,0,,,,
0,0,0,427486,0,0,,,,
0,0,0,434508,0,0,,,,
0,0,0,412260,0,0,,,,
0,0,0,411626,0,0,,,,
0,0,0,411149,0,0,,,,
0,0,0,425776,0,0,,,,
0,0,0,431497,0,0,,,,
0,0,0,414665,0,0,,,,
0,0,0,412364,0,0,,,,
0,0,0,412095,0,0,,,,
0,0,0,410108,0,0,,,,
0,0,0,418797,0,0,,,,
0,0,0,427694,0,0,,,,
0,0,0,427478,0,0,,,,
0,0,0,409865,0,0,,,,
0,0,0,414908,0,0,,,,
0,0,0,416306,0,0,,,,
0,0,0,412912,0,0,,,,
0,0,0,422383,0,0,,,,
0,0,0,432426,0,0,,,,
0,0,0,412470,0,0,,,,
0,0,0,412773,0,0,,,,
0,0,0,415056,0,0,,,,
0,0,0,421610,0,0,,,,
0,0,0,428581,0,0,,,,
0,0,0,418572,0,0,,,,
0,0,0,407418,0,0,,,,
0,0,0,410535,0,0,,,,
0,0,0,412869,0,0,,,,
0,0,0,406402,0,0,,,,
0,0,0,420300,0,0,,,,
